method,basin_id,trial_idx,decision_time_s,decision_time_kind,prompt_tokens,completion_tokens,cached_tokens,total_tokens,wall_time_s,test_NSE,test_KGE,objective,budget_level,range_policy,stop_flag
M2_B,01543000,5,18.06,llm_decision_elapsed,2744,1476,2176,4220,210.5,0.4770083005313457,0.6280175876216663,NSE,default,boundary_expand,False
M2_B,03574500,1,0,llm_decision_elapsed,0,0,0,0,124.8,0.5687037640552917,0.4896712074744196,NSE,default,default,False
M2_B,03574500,2,21.31,llm_decision_elapsed,2059,1552,0,3611,125.4,0.6105215753123692,0.33981444653832227,NSE,default,default,True
M2_B,05495000,1,0,llm_decision_elapsed,0,0,0,0,126.4,0.587400550449708,0.5840946033221622,NSE,default,default,False
M2_B,05495000,2,16.64,llm_decision_elapsed,2058,1487,1664,3545,201.1,0.5872687134594605,0.5837180815881509,NSE,default,climate_prior,False
M2_B,05495000,3,13.89,llm_decision_elapsed,2278,1205,1664,3483,246.7,0.5592448993896393,0.526294298063654,NSE,default,wide,False
M2_B,05495000,4,22.42,llm_decision_elapsed,2490,1724,2176,4214,199.2,0.5767622783411452,0.5571508804681884,NSE,default,boundary_expand,False
M2_B,05495000,5,15.71,llm_decision_elapsed,2709,1381,2176,4090,127.6,0.5701318171740166,0.5678911387622145,NSE,default,default,True
M2_B,06885500,1,0,llm_decision_elapsed,0,0,0,0,136.9,0.41003123205275716,0.023171204985356852,NSE,default,default,False
M2_B,06885500,2,10.89,llm_decision_elapsed,2057,807,1664,2864,228.4,0.5108679484717732,0.4908490544122347,NSE,default,climate_prior,False
M2_B,06885500,3,18.3,llm_decision_elapsed,2309,1427,1664,3736,214.7,0.45435435057680296,0.4129618178179858,NSE,default,boundary_expand,False
M2_B,06885500,4,26.02,llm_decision_elapsed,2562,1841,1920,4403,382.2,0.46171860178301316,-0.304356382145232,NSE,default,wide,False
M2_B,06885500,5,22.61,llm_decision_elapsed,2895,1795,2176,4690,185.4,0.5120185298254369,0.15992288195618276,NSE,default,climate_prior,True
M2_B,07197000,1,0,llm_decision_elapsed,0,0,0,0,195.1,0.3229714311968298,-0.2816011591372938,NSE,default,default,False
M2_B,07197000,2,16.29,llm_decision_elapsed,2059,1295,1664,3354,295.1,0.4432087497790439,0.4190146083734333,NSE,default,wide,False
M2_B,07197000,3,12.33,llm_decision_elapsed,2308,969,1664,3277,404.0,0.5013498907260698,0.3820430823557319,NSE,default,boundary_expand,False
M2_B,07197000,4,19.67,llm_decision_elapsed,2556,1363,1920,3919,397.1,0.45598302090321874,0.06938494537989459,NSE,default,climate_prior,False
M2_B,07197000,5,10.12,llm_decision_elapsed,2828,877,2432,3705,193.5,0.41335226345604115,0.039925073112055176,NSE,default,default,True
